Lago,Fecha,Chla_media,Chla_mediana,Chla_p90,Chla_max,NDCI_medio,NDVI_agua,NDWI_agua,Pct_area_alta,Pct_nata_flotante,Pct_huella_valida,Confiable,Area_huella_km2,Nubosidad_pct,Satelite
atitlan,2025-01-18,31.12303924560547,0.0,101.9029541015625,500.0,-0.09223359823226929,0.3502422273159027,0.749533474445343,16.340155876486982,0.04384910250788577,23.41456467595782,False,120.7744,0.02,Sentinel-2B
atitlan,2025-04-13,3.0773327350616455,3.4063291549682617,4.13509464263916,81.22586059570312,-0.03261158987879753,-0.04772206023335457,0.36670950055122375,0.006292724285941391,0.00430554819564411,100.0,True,120.7744,0.54,Sentinel-2C
atitlan,2025-05-13,3.527311325073242,3.909804582595825,4.473459720611572,102.97978973388672,-0.016536999493837357,-0.07416732609272003,0.3817758858203888,0.01291707239522267,0.008942588581308003,99.9966880398495,True,120.7744,4.37,Sentinel-2C
atitlan,2025-07-17,3.9491894245147705,4.30401086807251,4.825592041015625,334.9527893066406,0.006000452674925327,-0.07103847712278366,0.4250674843788147,0.12622539681487938,0.027166620836798182,99.96853637857029,True,120.7744,3.57,Sentinel-2A
atitlan,2025-11-21,3.714212417602539,2.9132399559020996,6.218822479248047,500.0,-0.07366114109754562,-0.17509576678276062,0.7855431437492371,0.9950975279023678,0.023643127846736903,95.2552858884002,True,120.7744,3.15,Sentinel-2A
atitlan,2025-12-29,2.4854533672332764,1.70540189743042,4.935583114624023,500.0,-0.08898502588272095,-0.02666870504617691,0.5734991431236267,0.2807224391972742,0.011930703665884152,94.38390917280483,True,120.7744,3.17,Sentinel-2C
atitlan,2026-02-12,3.4239702224731445,3.4406070709228516,5.162176132202148,500.0,-0.0591888390481472,-0.10235652327537537,0.6471758484840393,0.507693326735528,0.005065244242181016,85.00178845848127,True,120.7744,0.04,Sentinel-2B
atitlan,2026-03-24,3.4725446701049805,3.862985372543335,4.578117847442627,61.98798370361328,-0.014258665964007378,-0.14049476385116577,0.4697776436805725,0.01258549025452498,0.0049679566794177555,99.99966880398495,True,120.7744,3.17,Sentinel-2B
atitlan,2026-04-13,3.941086769104004,4.26416015625,4.638812065124512,84.13534545898438,0.0034066366497427225,-0.034206125885248184,0.25044482946395874,0.017892644135188866,0.012922465208747515,99.95495734195326,True,120.7744,0.01,Sentinel-2B
atitlan,2026-04-28,3.286602020263672,3.6406848430633545,4.285731315612793,107.38549041748047,-0.025163402780890465,-0.07987957447767258,0.3144718110561371,0.013579036617031423,0.01391023263208097,100.0,True,120.7744,4.96,Sentinel-2C
atitlan,2026-07-22,3.9607298374176025,4.245769500732422,4.735942840576172,122.91717529296875,0.0036830042954534292,-0.09609856456518173,0.4599416255950928,0.24211631519503446,0.055312482404337567,99.99503205977426,True,120.7744,4.02,Sentinel-2B
