Lago,Fecha,Chla_media,Chla_mediana,Chla_p90,Chla_max,NDCI_medio,NDVI_agua,NDWI_agua,Pct_area_alta,Pct_nata_flotante,Pct_huella_valida,Confiable,Area_huella_km2,Nubosidad_pct,Satelite
amatitlan,2025-01-28,14.592432975769043,12.287834167480469,25.72622299194336,167.9310760498047,0.26615655422210693,-0.39982518553733826,0.6095900535583496,6.069229875711465,0.06679056801022186,100.0,True,13.7744,0.06,Sentinel-2B
amatitlan,2025-04-15,7.691365718841553,5.020607948303223,14.158699035644531,73.91634368896484,0.129927858710289,-0.09318649023771286,0.2841823995113373,1.9020792194215357,0.0319433151353235,100.0,True,13.7744,0.09,Sentinel-2A
amatitlan,2025-04-28,12.730062484741211,5.832763671875,29.46458625793457,133.22572326660156,0.1864626109600067,-0.05275270342826843,0.27889400720596313,9.67882448600302,0.13358113602044372,100.0,True,13.7744,1.03,Sentinel-2B
amatitlan,2025-11-24,12.771770477294922,6.484637260437012,24.422264099121094,238.8292236328125,0.20076316595077515,-0.39600908756256104,0.5419395565986633,7.7012428853525385,0.47334185155070274,100.0,True,13.7744,0.5,Sentinel-2B
amatitlan,2026-01-08,24.22842788696289,15.622097969055176,46.9641227722168,238.6800994873047,0.30720460414886475,-0.08457482606172562,0.3563842475414276,21.255772079110155,0.9467661836029391,99.99128818678128,True,13.7744,0.77,Sentinel-2C
amatitlan,2026-02-02,5.882707118988037,5.237603187561035,7.837419509887695,30.232425689697266,0.1252298504114151,-0.05032956600189209,0.16121947765350342,0.0029039377395748637,0.0029039377395748637,100.0,True,13.7744,0.39,Sentinel-2B
amatitlan,2026-02-07,7.9331464767456055,6.913667678833008,11.850916862487793,106.44905090332031,0.18720781803131104,-0.37874963879585266,0.4842515289783478,0.319442427762451,0.005808044141135472,99.99709606226043,True,13.7744,0.02,Sentinel-2C
amatitlan,2026-03-29,14.812199592590332,10.224384307861328,26.799694061279297,118.51325988769531,0.25346532464027405,-0.06608153879642487,0.3106839954853058,8.671158090370543,0.034847252874898364,100.0,True,13.7744,0.01,Sentinel-2C
amatitlan,2026-04-13,16.42426872253418,14.081695556640625,27.42612648010254,98.0166015625,0.2882208824157715,-0.02620401792228222,0.2832217216491699,7.631548379602742,0.02613543965617377,100.0,True,13.7744,0.09,Sentinel-2B
amatitlan,2026-04-28,25.519453048706055,10.402567863464355,69.05792236328125,154.3538360595703,0.25287437438964844,0.03055974841117859,0.2559344470500946,31.31025670809618,3.110117319084679,100.0,True,13.7744,4.96,Sentinel-2C
amatitlan,2026-06-19,60.19687271118164,59.194671630859375,103.09912109375,251.119384765625,0.44752973318099976,-0.1875346601009369,0.5385290384292603,76.6058775699849,0.38622371936345684,100.0,True,13.7744,13.0,Sentinel-2A
